Date,State,Population,Confirmed,Recovered,Deceased,Tested
Fri Mar 13 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Fri Mar 13 00:00:00 GMT+05:30 2020,TT,1332900000,91,3,1,6500
Fri Mar 13 00:00:00 GMT+05:30 2020,UP,224979000,13,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,DL,19814000,7,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,JK,13203000,2,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,KA,65798000,6,,1,
Sat Mar 14 00:00:00 GMT+05:30 2020,KL,35125000,22,3,,
Sat Mar 14 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,MH,122153000,26,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Sat Mar 14 00:00:00 GMT+05:30 2020,RJ,77264000,4,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,TG,37220000,2,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Sat Mar 14 00:00:00 GMT+05:30 2020,TT,1332900000,102,3,1,6500
Sat Mar 14 00:00:00 GMT+05:30 2020,UP,224979000,13,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,DL,19814000,7,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,JK,13203000,2,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,KA,65798000,6,,1,
Sun Mar 15 00:00:00 GMT+05:30 2020,KL,35125000,24,3,,
Sun Mar 15 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,MH,122153000,32,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Sun Mar 15 00:00:00 GMT+05:30 2020,RJ,77264000,4,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,TG,37220000,3,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,TT,1332900000,112,3,1,6500
Sun Mar 15 00:00:00 GMT+05:30 2020,UP,224979000,13,,,
Sun Mar 15 00:00:00 GMT+05:30 2020,UT,11141000,1,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,AP,52221000,1,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,DL,19814000,7,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,HP,7300000,,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,HR,28672000,14,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,JK,13203000,3,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,KA,65798000,7,,1,
Mon Mar 16 00:00:00 GMT+05:30 2020,KL,35125000,27,3,,
Mon Mar 16 00:00:00 GMT+05:30 2020,LA,293000,3,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,MH,122153000,39,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,OR,43671000,1,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,PB,29859000,1,,,3675493
Mon Mar 16 00:00:00 GMT+05:30 2020,RJ,77264000,4,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,TG,37220000,4,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,TN,75695000,1,,,
Mon Mar 16 00:00:00 GMT+05:30 2020,TT,1332900000,126,3,1,6500
Mon Mar 16 00:00:00 GMT+05:30 2020,UP,224979000,13,,,
